"Title","Hull","Class %23","Hull %23","COM Date","TYCOM","FLT","Last Insp Date","Sked Next Inspection","Months from Last Insp/MI","OVERDUE REASON","Overdue_OLD","ACTIVE/INACTIVE","Battle Force","HomePort","UIC","NVR","Waivers","Remarks","AT Date","FCT Date","CT DATE","GMI","MI / SMART 1","MI / SMART 2","MI / SMART 3","MI / SMART 4","MI / SMART 5","MI / SMART 6","MI / SMART 7","MI / SMART 8","MI / SMART 9","MI / SMART 10","Survey","NEP","IT","C51","C51","AT2","C51","C51","FC2","MCI 1","PRT","DECOM Date","SCHEDULED","OVERDUE","CURRENT ORFP PHASE","PHASE MI Scheduled In","CONCERNS/RISKS","Ship Folder"
"BUNKER HILL","[""CG""]","[""CG 47""]","CG 52","9/19/1986 9:00 PM",,,,,,,"OVERDUE","[""INACTIVE""]","[""NO""]",,"21306","[""PAC""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9/21/2023 9:00 PM","NO","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CG%20CASE/CG52_BUNKER_HILL?csf=1&web=1&e=fRW4Df"
"MOBILE BAY","[""CG""]","[""CG 47""]","CG 53","2/20/1987 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"21631","[""LANT""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"8/17/2023 9:00 PM","YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CG%20CASE/CG53_MOBILE_BAY?csf=1&web=1&e=DIaKFB"
"ANTIETAM","[""CG""]","[""CG 47""]","CG 54","6/5/1987 9:00 PM",,,"3/5/2023 9:00 PM","9/26/2024 9:00 PM","34",,,"[""INACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","21387","[""PAC""]",,"LSA",,,,,"6/19/1997 9:00 PM","4/12/2001 9:00 PM","8/3/2006 9:00 PM","9/29/2011 9:00 PM","10/28/2015 9:00 PM","2/27/2019 9:00 PM","3/5/2023 9:00 PM",,,,,,,,,,,,,,,"9/26/2024 9:00 PM","YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CG%20CASE/CG54_ANTIETAM?csf=1&web=1&e=460gWz"
"LEYTE GULF","[""CG""]","[""CG 47""]","CG 55","9/25/1987 9:00 PM",,,"9/24/2023 9:00 PM","9/26/2024 9:00 PM","27",,,"[""INACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21388","[""LANT""]",,"LSA",,"11/3/2005 9:00 PM",,,"4/19/2001 9:00 PM","11/3/2005 9:00 PM","6/10/2010 9:00 PM","12/14/2016 9:00 PM","9/24/2023 9:00 PM",,,,,,,,,,,,,,,,,"9/26/2024 9:00 PM","YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CG%20CASE/CG55_LEYTE_GULF?csf=1&web=1&e=Y3pcKO"
"SAN JACINTO","[""CG""]","[""CG 47""]","CG 56","1/22/1988 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"23005","[""MSC NOT ASSIGNED""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/14/2023 9:00 PM","YES","OVERDUE",,,,
"LAKE CHAMPLAIN","[""CG""]","[""CG 47""]","CG 57","8/11/1988 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"23068","[""MSC U.S. PACIFIC COAST""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/7/2023 9:00 PM","YES","OVERDUE",,,,
"PHILIPPINE SEA","[""CG""]","[""CG 47""]","CG 58","3/17/1989 9:00 PM","[""CNSL""]","[""C2F""]","2/27/2020 9:00 PM","2/27/2020 9:00 PM","67",,"OVERDUE","[""INACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21429","[""LANT""]",,"LSA FY25",,,,,"4/3/1997 9:00 PM","8/15/2002 9:00 PM","2/9/2006 9:00 PM","12/9/2010 9:00 PM","3/17/2011 9:00 PM","8/24/2016 9:00 PM","2/23/2020 9:00 PM",,,,,,,,,,,,,"6/10/2013 9:00 PM",,,"YES","OVERDUE",,,,
"PRINCETON","[""CG""]","[""CG 47""]","CG 59","2/10/1989 9:00 PM","[""CNSP""]","[""C3F""]","8/29/2019 9:00 PM",,"73","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21447","[""PAC""]",,"LSA FY25",,,,,"8/7/1997 9:00 PM","12/5/2002 9:00 PM","2/15/2007 9:00 PM","3/15/2012 9:00 PM","5/25/2016 9:00 PM","8/29/2019 9:00 PM",,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"NORMANDY","[""CG""]","[""CG 47""]","CG 60","12/8/1989 9:00 PM","[""CNSL""]","[""C2F""]","3/27/2019 9:00 PM",,"78","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21449","[""LANT""]",,"LSA FY25",,,,,"2/3/2000 9:00 PM","2/26/2004 9:00 PM","8/20/2009 9:00 PM","11/19/2014 9:00 PM","3/27/2019 9:00 PM",,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"MONTEREY","[""CG""]","[""CG 47""]","CG 61","6/15/1990 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"22241","[""MSC ATLANTIC""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/29/2022 9:00 PM","YES","OVERDUE",,,,
"ROBERT SMALLS","[""CG""]","[""CG 47""]","CG 62","11/3/1989 9:00 PM","[""CNSP""]","[""C7F""]","5/16/2019 9:00 PM",,"77","[""2"",""3""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","21451","[""PAC""]",,"DECOM LSA FY26",,,,,"12/18/2003 9:00 PM","4/16/2009 9:00 PM","12/10/2014 9:00 PM","5/16/2019 9:00 PM",,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"COWPENS","[""CG""]","[""CG 47""]","CG 63","3/8/1991 9:00 PM",,,"6/23/2015 9:00 PM","9/21/2001 9:00 PM","124",,"OVERDUE","[""INACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21623","[""PAC""]",,"LSA",,,,,"4/27/2000 9:00 PM","8/7/2003 9:00 PM","3/6/2008 9:00 PM","6/23/2015 9:00 PM",,,,,,,,,,,,,,,,,,"8/26/2024 9:00 PM","YES","OVERDUE",,,,
"GETTYSBURG","[""CG""]","[""CG 47""]","CG 64","6/21/1991 9:00 PM","[""CNSL""]","[""C2F""]","1/11/2024 9:00 PM","2/7/2027 9:00 PM","21","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21624","[""LANT""]",,"OCIR (FY25?)FY26 (NO MORE INSPECTIONS)",,,,,"11/2/2000 9:00 PM","5/19/2005 9:00 PM","5/27/2010 9:00 PM","1/11/2024 9:00 PM",,,,,,,"7/28/2015 9:00 PM",,,,,,,,,,,,"YES",,,,,
"CHOSIN","[""CG""]","[""CG 47""]","CG 65","1/11/1991 9:00 PM","[""CNSP""]","[""C3F""]","9/25/2025 9:00 PM",,"0","[""1""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","21625","[""PAC""]",,"OCIR FY27",,,,,"4/16/1998 9:00 PM","2/27/2003 9:00 PM","3/27/2008 9:00 PM","3/28/2013 9:00 PM","9/25/2025 9:00 PM",,,,,,"1/27/2016 9:00 PM",,,,,,,,,,,,"NO",,,,,
"HUE CITY","[""CG""]","[""CG 47""]","CG 66","9/13/1991 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"22242","[""MSC ATLANTIC""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/29/2022 9:00 PM","YES","OVERDUE",,,,
"SHILOH","[""CG""]","[""CG 47""]","CG 67","7/17/1992 9:00 PM","[""CNSP""]","[""C3F""]","3/5/2023 9:00 PM",,"31","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","21657","[""PAC""]",,"LSA FY24 (NO MORE MIs)",,,,,"3/13/1997 9:00 PM","3/21/2002 9:00 PM","7/27/2006 9:00 PM","9/27/2012 9:00 PM","11/14/2019 9:00 PM","3/5/2023 9:00 PM",,,,,,,,,,,,,,"12/3/2014 9:00 PM",,,"NO",,,,,
"ANZIO","[""CG""]","[""CG 47""]","CG 68","5/1/1992 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"22243","[""MSC ATLANTIC""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/29/2022 9:00 PM","YES","OVERDUE",,,,
"VICKSBURG","[""CG""]","[""CG 47""]","CG 69","11/13/1992 9:00 PM",,,"6/16/2011 9:00 PM","6/16/2011 9:00 PM","172",,"OVERDUE","[""INACTIVE""]","[""NO""]","[""NORFOLK, VA""]","21684","[""LANT""]",,"LSA",,,,,"12/11/1997 9:00 PM","11/14/2002 9:00 PM","9/7/2006 9:00 PM","6/16/2011 9:00 PM",,,,,,,,,,,,,,,,,,"7/25/2024 9:00 PM","YES","OVERDUE",,,,
"LAKE ERIE","[""CG""]","[""CG 47""]","CG 70","5/9/1993 9:00 PM","[""CNSP""]","[""C3F""]","12/5/2018 9:00 PM",,"82","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21827","[""PAC""]",,"OCIR FY25?",,,,,"4/23/1998 9:00 PM","4/24/2003 9:00 PM","3/20/2008 9:00 PM","4/11/2013 9:00 PM","12/5/2018 9:00 PM",,,,,,,,,,,,,,,"10/19/2016 9:00 PM",,,"NO","OVERDUE",,,,
"CAPE ST. GEORGE","[""CG""]","[""CG 47""]","CG 71","6/11/1993 9:00 PM","[""CNSP""]","[""C3F""]","12/5/2013 9:00 PM","3/22/2026 9:00 PM","142","[""1""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","21828","[""PAC""]",,"OCIR FY27",,,,,"2/11/1999 9:00 PM","11/20/2003 9:00 PM","2/28/2008 9:00 PM","12/5/2013 9:00 PM",,,,,,,"12/11/2016 9:00 PM",,,,,,,,,,,,"YES","OVERDUE",,,,
"VELLA GULF","[""CG""]","[""CG 47""]","CG 72","9/17/1993 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"22244","[""MSC ATLANTIC""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/29/2022 9:00 PM","YES","OVERDUE",,,,
"PORT ROYAL","[""CG""]","[""CG 47""]","CG 73","7/8/1994 9:00 PM",,,,"9/21/2001 9:00 PM",,,"OVERDUE","[""INACTIVE""]","[""Strategic Sealift Force""]",,"22246","[""MSC U.S. PACIFIC COAST""]",,"XFER TO MARAD",,,,,,,,,,,,,,,,,,,,,,,,,,"9/29/2022 9:00 PM","YES","OVERDUE",,,,
"NIMITZ","[""CVN""]","[""CVN 68""]","CVN 68","5/2/1975 9:00 PM","[""CNAP""]","[""C3F""]","11/20/2024 9:00 PM",,"14","[""2""]",,"[""ACTIVE""]","[""YES""]","[""BREMERTON, WA""]","03368","[""PAC""]",,"RECYCLE FY26",,,,,"6/19/1997 9:00 PM","8/23/2001 9:00 PM","7/25/2002 9:00 PM","1/26/2006 9:00 PM","10/7/2010 9:00 PM","2/15/2017 9:00 PM","2/12/2020 9:00 PM","11/20/2024 9:00 PM",,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN68_NIMITZ?csf=1&web=1&e=AlkYwL"
"DWIGHT D. EISENHOWER","[""CVN""]","[""CVN 68""]","CVN 69","10/17/1977 9:00 PM","[""CNAL""]","[""C2F""]","4/30/2023 9:00 PM","11/10/2026 9:00 PM","32","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","03369","[""LANT""]",,"RECYCLE FY27",,,,,"8/19/1999 9:00 PM","3/30/2006 9:00 PM","2/24/2016 9:00 PM","8/7/2019 9:00 PM","4/30/2023 9:00 PM",,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN69_EISENHOWER?csf=1&web=1&e=veAmrf"
"CARL VINSON","[""CVN""]","[""CVN 68""]","CVN 70","3/12/1982 9:00 PM","[""CNAP""]","[""C3F""]","4/15/2021 9:00 PM","10/4/2026 9:00 PM","57","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","20993","[""PAC""]",,,,,,,"5/12/1998 9:00 PM","2/19/2004 9:00 PM","10/21/2010 9:00 PM","8/31/2016 9:00 PM","4/15/2021 9:00 PM",,,,,,,"4/24/2001 9:00 PM",,,,,,,,"5/20/2013 9:00 PM",,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN70_CARL_VINSON?csf=1&web=1&e=1BWhdH"
"THEODORE ROOSEVELT","[""CVN""]","[""CVN 68""]","CVN 71","10/24/1986 9:00 PM","[""CNAP""]","[""C3F""]","8/20/2023 9:00 PM","6/7/2026 9:00 PM","29","[""2""]",,"[""ACTIVE""]","[""YES""]","[""BREMERTON, WA""]","21247","[""PAC""]",,"HPC to SDGO 2024",,,,,"9/28/2000 9:00 PM","3/3/2005 9:00 PM","6/25/2014 9:00 PM","8/20/2023 9:00 PM",,,,,,,,,,,,,,,,"6/12/2017 9:00 PM",,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN71_T_ROOSEVELT?csf=1&web=1&e=OsW2b8"
"ABRAHAM LINCOLN","[""CVN""]","[""CVN 68""]","CVN 72","11/10/1989 9:00 PM","[""CNAP""]","[""C3F""]","4/28/2024 9:00 PM","4/23/2028 9:00 PM","20","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21297","[""PAC""]",,,,,,,"11/6/1997 9:00 PM","4/27/2000 9:00 PM","11/8/2001 9:00 PM","1/12/2006 9:00 PM","3/4/2010 9:00 PM","6/13/2018 9:00 PM","6/13/2021 9:00 PM","4/28/2024 9:00 PM",,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN72_ABRAHAM_LINCOLN?csf=1&web=1&e=fEyG7t"
"GEORGE WASHINGTON","[""CVN""]","[""CVN 68""]","CVN 73","7/3/1992 9:00 PM","[""CNAP""]","[""C2F""]","4/7/2024 9:00 PM","8/22/2027 9:00 PM","21","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21412","[""LANT""]",,"HPC to YOKOSUKA 1AUG24",,,,,"9/25/2003 9:00 PM","12/20/2007 9:00 PM","8/9/2012 9:00 PM","4/7/2024 9:00 PM",,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN73_GEORGE_WASHINGTON?csf=1&web=1&e=aO5iss"
"JOHN C. STENNIS","[""CVN""]","[""CVN 68""]","CVN 74","12/8/1995 9:00 PM","[""CNAP""]","[""C2F""]","7/22/2015 9:00 PM","7/23/2028 9:00 PM","126","[""1"",""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NEWPORT NEWS, VA""]","21847","[""PAC""]",,"RCOH",,,,,"5/3/2001 9:00 PM","4/27/2006 9:00 PM","3/3/2011 9:00 PM","7/22/2015 9:00 PM","2/4/2024 9:00 PM",,,,,,,,,,,,,,,"9/2/2018 9:00 PM",,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN74_JOHN_C_STENNIS?csf=1&web=1&e=HeNu8f"
"HARRY S. TRUMAN","[""CVN""]","[""CVN 68""]","CVN 75","7/24/1998 9:00 PM","[""CNAL""]","[""C2F""]","6/6/2024 9:00 PM","9/14/2031 9:00 PM","19","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21853","[""LANT""]",,,,,,,"5/20/2004 9:00 PM","6/4/2009 9:00 PM","6/12/2014 9:00 PM","9/19/2021 9:00 PM","6/6/2024 9:00 PM",,,,,,,,,,,,,,,"12/10/2017 9:00 PM",,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN75_HARRY_S_TRUMAN?csf=1&web=1&e=f1f80o"
"RONALD REAGAN","[""CVN""]","[""CVN 68""]","CVN 76","7/11/2003 9:00 PM","[""CNAP""]","[""C7F""]","10/31/2024 9:00 PM","2/21/2027 9:00 PM","14","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","22178","[""PAC""]",,"HPC to BREMERTON 1SEP24","5/29/2003 9:00 PM","6/16/2005 9:00 PM",,,"8/26/2010 9:00 PM","8/18/2016 9:00 PM","10/31/2024 9:00 PM",,,,,,,,,,,,,,,,,"10/17/2013 9:00 PM",,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN76_RONALD_REAGAN?csf=1&web=1&e=QqRgEi"
"GEORGE H.W. BUSH","[""CVN""]","[""CVN 68""]","CVN 77","1/9/2009 9:00 PM","[""CNAL""]","[""C2F""]","7/31/2025 9:00 PM","6/11/2028 9:00 PM","5","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23170","[""LANT""]",,,,"3/25/2010 9:00 PM",,,"2/28/2018 9:00 PM","11/14/2021 9:00 PM","7/31/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN77_GEORGE_H_W_BUSH?csf=1&web=1&e=959dwS"
"GERALD R. FORD","[""CVN""]","[""CVN 78""]","CVN 78","7/21/2017 9:00 PM","[""CNAL""]","[""C2F""]","6/16/2022 9:00 PM","4/5/2026 9:00 PM","43","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23173","[""LANT""]",,,"5/27/2017 9:00 PM","6/12/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN78_GERALD_FORD?csf=1&web=1&e=zBZgq1"
"JOHN F. KENNEDY","[""CVN""]","[""CVN 78""]","CVN 79",,,,,"5/31/2026 9:00 PM",,,"OVERDUE",,,"[""NEWPORT NEWS, VA""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN79_JOHN_F_KENNEDY?csf=1&web=1&e=dKgenS"
"ENTERPRISE","[""CVN""]","[""CVN 78""]","CVN 80",,,,,,,,"OVERDUE",,,"[""NEWPORT NEWS, VA""]",,"[""UNDER CONSTRUCTION""]",,"Delivery 8MAR28?",,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN80_ENTERPRISE?csf=1&web=1&e=0tMjBo"
"DORIS MILLER","[""CVN""]","[""CVN 78""]","CVN 81",,,,,,,,"OVERDUE",,,"[""NEWPORT NEWS, VA""]",,"[""UNDER CONSTRUCTION""]",,"Delivery 6FEB32?",,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/CVN%20CASE/CVN81_DORIS_MILLER?csf=1&web=1&e=RDKj56"
"NO NAME","[""CVN""]","[""CVN 78""]","CVN 82",,,,,,,,"OVERDUE",,,"[""NEWPORT NEWS, VA""]",,"[""PLANNED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
